"council_ar","NAME","MOD02SSH_A20170926Av1_v811_7200_3601_uvb__le.edit"
"100","Aberdeen City",0.00300050710521313
"110","Aberdeenshire",0.00330270828881625
"120","Angus",0.00338364182387515
"130","Argyll and Bute",0.00353008096200528
"150","Clackmannanshire",0.00372603491440671
"170","Dumfries and Galloway",0.00383151578572036
"180","Dundee City",0.00357962059795461
"190","East Ayrshire",0.00389085759021151
"200","East Dunbartonshire",0.00390313814962572
"210","East Lothian",0.00388457534885895
"220","East Renfrewshire",0.00402719573263941
"230","City of Edinburgh",0.00386290116780145
"235","Eilean Siar",0.00365777800603821
"240","Falkirk",0.00387010350829103
"250","Fife",0.00372594584807319
"260","Glasgow City",0.00406638228941731
"270","Highland",0.00342164720273734
"280","Inverclyde",0.00386213565776357
"290","Midlothian",0.00397224260037895
"300","Moray",0.00332869253336113
"310","North Ayrshire",0.00394661471536466
"320","North Lanarkshire",0.00402371450676045
"330","Orkney Islands",0.00346123975712775
"340","Perth and Kinross",0.00352602115947006
"350","Renfrewshire",0.00405569729368467
"355","Scottish Borders",0.00374252533340479
"360","Shetland Islands",0.00275994482649096
"370","South Ayrshire",0.00382933375455452
"380","South Lanarkshire",0.00385610919318349
"390","Stirling",0.00360919555528405
"395","West Dunbartonshire",0.00379209061202583
"400","West Lothian",0.00393960382454975
