"council_ar","NAME","MYD02SSH_A20170920Av1_v601_7200_3601_uvb__8b.edit"
"100","Aberdeen City",0.00791846974979629
"110","Aberdeenshire",0.00742478464661309
"120","Angus",0.00768987774568422
"130","Argyll and Bute",0.00806028836268901
"150","Clackmannanshire",0.00932582821482806
"170","Dumfries and Galloway",0.00887818636200021
"180","Dundee City",0.0078488872312521
"190","East Ayrshire",0.00886990822587666
"200","East Dunbartonshire",0.00804124615101868
"210","East Lothian",0.00887483889647904
"220","East Renfrewshire",0.00830209177293163
"230","City of Edinburgh",0.00840843961803041
"235","Eilean Siar",0.00623137167886823
"240","Falkirk",0.00821888140379198
"250","Fife",0.00829580866861219
"260","Glasgow City",0.00808044586921036
"270","Highland",0.00648742584892373
"280","Inverclyde",0.00801284452513545
"290","Midlothian",0.0083174490028724
"300","Moray",0.00693904029748885
"310","North Ayrshire",0.00832320530130742
"320","North Lanarkshire",0.00845925921187785
"330","Orkney Islands",0.00567633712497121
"340","Perth and Kinross",0.00813789687630101
"350","Renfrewshire",0.00834742026820019
"355","Scottish Borders",0.00839634194423373
"360","Shetland Islands",0.00611453526962127
"370","South Ayrshire",0.00869795725437367
"380","South Lanarkshire",0.00877437900154138
"390","Stirling",0.00819786306640386
"395","West Dunbartonshire",0.00858848359707339
"400","West Lothian",0.00870521015649863
